,Postcode District,Bedroom Category,Count of rents,Mean
1174,SE22,3,50,"1,957"
1175,SE22,4,20,"2,965"
1177,SE23,0,30,766
1178,SE23,1,70,"1,057"
1179,SE23,2,100,"1,339"
1180,SE23,3,30,"1,703"
1181,SE23,4,20,"2,345"
1183,SE24,0,10,809
1184,SE24,1,30,"1,246"
1185,SE24,2,60,"1,576"
1186,SE24,3,20,"2,219"
1187,SE24,4,10,"2,902"
1189,SE25,0,20,728
1190,SE25,1,80,904
1191,SE25,2,70,"1,176"
1192,SE25,3,20,"1,415"
1193,SE25,4,-,..
1195,SE26,0,10,866
1196,SE26,1,50,"1,039"
1197,SE26,2,120,"1,242"
1198,SE26,3,30,"1,554"
1199,SE26,4,10,"2,125"
1201,SE27,0,20,664
1202,SE27,1,30,"1,080"
1203,SE27,2,30,"1,357"
1204,SE27,3,10,"1,798"
1205,SE27,4,10,"2,408"
1207,SE28,0,-,..
1208,SE28,1,10,885
1209,SE28,2,40,"1,155"
1210,SE28,3,20,"1,292"
1211,SE28,4,-,..
1213,SE3,0,10,945
1214,SE3,1,60,"1,238"
1215,SE3,2,90,"1,491"
1216,SE3,3,60,"1,808"
1217,SE3,4,10,"2,443"
1219,SE4,0,10,807
1220,SE4,1,60,"1,093"
1221,SE4,2,80,"1,347"
1222,SE4,3,30,"1,754"
1223,SE4,4,10,"2,243"
1225,SE5,0,-,..
1226,SE5,1,70,"1,260"
1227,SE5,2,90,"1,507"
1228,SE5,3,30,"1,980"
1229,SE5,4,10,"2,748"
1231,SE6,0,20,712
1232,SE6,1,70,984
1233,SE6,2,110,"1,225"
1234,SE6,3,50,"1,501"
1235,SE6,4,20,"1,934"
1237,SE7,0,0,.
1238,SE7,1,10,"1,028"
1239,SE7,2,20,"1,275"
1240,SE7,3,20,"1,612"
1241,SE7,4,10,"2,083"
1243,SE8,0,20,961
1244,SE8,1,70,"1,193"
1245,SE8,2,80,"1,499"
1246,SE8,3,20,"1,872"
1247,SE8,4,10,"1,808"
1249,SE9,0,10,894
1250,SE9,1,50,988
1251,SE9,2,60,"1,210"
1252,SE9,3,60,"1,500"
1253,SE9,4,20,"1,724"
1255,SE99,0,0,.
1256,SE99,1,0,.
1257,SE99,2,0,.
1258,SE99,3,0,.
1259,SE99,4,0,.
1261,SM1,0,20,760
1262,SM1,1,80,934
1263,SM1,2,110,"1,161"
1264,SM1,3,40,"1,446"
1265,SM1,4,20,"1,809"
1267,SM2,0,20,770
1268,SM2,1,160,925
1269,SM2,2,150,"1,183"
1270,SM2,3,10,"1,547"
1271,SM2,4,10,"2,205"
1273,SM3,0,-,..
1274,SM3,1,10,906
1275,SM3,2,20,"1,173"
1276,SM3,3,20,"1,523"
1277,SM3,4,10,"1,786"
1279,SM4,0,-,..
1280,SM4,1,10,"1,013"
1281,SM4,2,40,"1,262"
1282,SM4,3,20,"1,543"
1283,SM4,4,10,"1,713"
1285,SM5,0,0,.
1286,SM5,1,20,911
1287,SM5,2,30,"1,176"
1288,SM5,3,10,"1,479"
1289,SM5,4,10,"1,700"
1291,SM6,0,10,684
1292,SM6,1,20,894
1293,SM6,2,50,"1,136"
1294,SM6,3,10,"1,476"
1295,SM6,4,10,"1,835"
1297,SM7,0,0,.
1298,SM7,1,0,.
1299,SM7,2,0,.
1300,SM7,3,0,.
1301,SM7,4,0,.
1303,SW10,0,10,"1,438"
1304,SW10,1,80,"1,901"
1305,SW10,2,80,"2,565"
1306,SW10,3,20,"4,325"
1307,SW10,4,10,"6,783"
1309,SW11,0,30,"1,244"
1310,SW11,1,270,"1,476"
1311,SW11,2,400,"1,968"
1312,SW11,3,140,"2,482"
1313,SW11,4,90,"3,799"
1315,SW12,0,10,"1,112"
1316,SW12,1,60,"1,428"
1317,SW12,2,130,"1,904"
1318,SW12,3,40,"2,403"
1319,SW12,4,30,"3,365"
1321,SW13,0,10,"1,146"
1322,SW13,1,80,"1,376"
1323,SW13,2,140,"1,851"
1324,SW13,3,80,"2,483"
1325,SW13,4,40,"4,592"
1327,SW14,0,10,"1,162"
1328,SW14,1,90,"1,281"
1329,SW14,2,230,"1,642"
1330,SW14,3,110,"2,315"
1331,SW14,4,90,"3,696"
1333,SW15,0,30,"1,053"
1334,SW15,1,180,"1,394"
1335,SW15,2,310,"1,742"
1336,SW15,3,90,"2,182"
1337,SW15,4,70,"3,391"
1339,SW16,0,20,798
1340,SW16,1,120,"1,096"
1341,SW16,2,110,"1,350"
1342,SW16,3,70,"1,605"
1343,SW16,4,50,"2,161"
1345,SW17,0,60,967
1346,SW17,1,150,"1,291"
1347,SW17,2,210,"1,528"
1348,SW17,3,110,"1,986"
1349,SW17,4,90,"2,601"
1351,SW18,0,-,..
1352,SW18,1,120,"1,418"
1353,SW18,2,240,"1,695"
1354,SW18,3,80,"2,295"
1355,SW18,4,50,"3,136"
1357,SW19,0,30,977
1358,SW19,1,280,"1,257"
1359,SW19,2,380,"1,577"
1360,SW19,3,100,"2,049"
1361,SW19,4,80,"2,832"
1363,SW1A,0,0,.
1364,SW1A,1,-,..
1365,SW1A,2,-,..
1366,SW1A,3,-,..
1367,SW1A,4,0,.
1369,SW1E,0,-,..
1370,SW1E,1,-,..
1371,SW1E,2,10,"4,639"
1372,SW1E,3,-,..
1373,SW1E,4,0,.
1375,SW1H,0,0,.
1376,SW1H,1,-,..
1377,SW1H,2,-,..
1378,SW1H,3,-,..
1379,SW1H,4,0,.
1381,SW1P,0,10,"1,401"
1382,SW1P,1,50,"2,002"
1383,SW1P,2,80,"2,595"
1384,SW1P,3,20,"3,766"
1385,SW1P,4,-,..
1387,SW1V,0,20,"1,456"
1388,SW1V,1,100,"1,771"
1389,SW1V,2,90,"2,364"
1390,SW1V,3,20,"3,208"
1391,SW1V,4,10,"5,370"
1393,SW1W,0,10,"1,692"
1394,SW1W,1,60,"2,137"
1395,SW1W,2,60,"3,488"
1396,SW1W,3,20,"7,067"
1397,SW1W,4,10,"9,799"
1399,SW1X,0,-,..
1400,SW1X,1,30,"3,322"
1401,SW1X,2,50,"4,521"
1402,SW1X,3,20,"7,753"
1403,SW1X,4,20,"12,029"
1405,SW1Y,0,0,.
1406,SW1Y,1,-,..
1407,SW1Y,2,20,"7,105"
1408,SW1Y,3,-,..
1409,SW1Y,4,0,.
1411,SW2,0,10,844
1412,SW2,1,70,"1,257"
1413,SW2,2,90,"1,550"
1414,SW2,3,30,"2,148"
1415,SW2,4,20,"2,872"
1417,SW20,0,10,918
1418,SW20,1,70,"1,243"
1419,SW20,2,90,"1,433"
1420,SW20,3,40,"1,918"
1421,SW20,4,40,"2,939"
1423,SW3,0,100,"1,407"
1424,SW3,1,260,"2,035"
1425,SW3,2,230,"3,334"
1426,SW3,3,70,"5,060"
1427,SW3,4,40,"10,343"
1429,SW4,0,10,"1,148"
1430,SW4,1,90,"1,511"
1431,SW4,2,130,"1,874"
1432,SW4,3,40,"2,456"
1433,SW4,4,20,"3,796"
1435,SW5,0,20,"1,506"
1436,SW5,1,60,"1,946"
1437,SW5,2,100,"2,697"
1438,SW5,3,30,"3,797"
1439,SW5,4,10,"6,129"
1441,SW6,0,10,"1,132"
1442,SW6,1,170,"1,471"
1443,SW6,2,140,"1,948"
1444,SW6,3,50,"2,848"
1445,SW6,4,50,"4,421"
1447,SW7,0,10,"1,464"
1448,SW7,1,90,"2,362"
1449,SW7,2,140,"3,610"
1450,SW7,3,60,"5,781"
1451,SW7,4,30,"9,859"
1453,SW8,0,-,..
1454,SW8,1,70,"1,515"
1455,SW8,2,100,"2,104"
1456,SW8,3,40,"3,074"
1457,SW8,4,10,"3,062"
1459,SW9,0,20,"1,067"
1460,SW9,1,30,"1,423"
1461,SW9,2,40,"1,682"
1462,SW9,3,30,"2,288"
1463,SW9,4,10,"2,816"
1465,SW95,0,0,.
1466,SW95,1,0,.
1467,SW95,2,0,.
1468,SW95,3,0,.
1469,SW95,4,0,.
1471,SW99,0,0,.
1472,SW99,1,0,.
1473,SW99,2,0,.
1474,SW99,3,0,.
1475,SW99,4,0,.
1477,TN14,0,0,.
1478,TN14,1,0,.
1479,TN14,2,0,.
1480,TN14,3,0,.
1481,TN14,4,0,.
1483,TN16,0,0,.
1484,TN16,1,-,..
1485,TN16,2,10,"1,274"
1486,TN16,3,10,"1,492"
1487,TN16,4,-,..
1489,TW1,0,10,854
1490,TW1,1,60,"1,216"
1491,TW1,2,100,"1,728"
1492,TW1,3,30,"2,084"
1493,TW1,4,10,"4,614"
1495,TW10,0,-,..
1496,TW10,1,40,"1,293"
1497,TW10,2,100,"1,752"
1498,TW10,3,40,"2,411"
1499,TW10,4,30,"3,994"
1501,TW11,0,-,..
1502,TW11,1,60,"1,135"
1503,TW11,2,80,"1,440"
1504,TW11,3,20,"1,925"
1505,TW11,4,10,"3,157"
1507,TW12,0,-,..
1508,TW12,1,30,976
1509,TW12,2,40,"1,335"
1510,TW12,3,10,"1,680"
1511,TW12,4,-,..
1513,TW13,0,10,736
1514,TW13,1,50,935
1515,TW13,2,90,"1,189"
1516,TW13,3,50,"1,409"
1517,TW13,4,10,"1,524"
1519,TW14,0,10,785
1520,TW14,1,30,949
1521,TW14,2,40,"1,179"
1522,TW14,3,20,"1,423"
1523,TW14,4,-,..
1525,TW15,0,0,.
1526,TW15,1,0,.
1527,TW15,2,-,..
1528,TW15,3,0,.
1529,TW15,4,0,.
1531,TW19,0,0,.
1532,TW19,1,0,.
1533,TW19,2,0,.
1534,TW19,3,0,.
1535,TW19,4,0,.
1537,TW2,0,-,..
1538,TW2,1,30,"1,057"
1539,TW2,2,50,"1,341"
1540,TW2,3,60,"1,830"
1541,TW2,4,20,"2,067"
1543,TW3,0,30,782
1544,TW3,1,70,"1,054"
1545,TW3,2,100,"1,243"
1546,TW3,3,50,"1,556"
1547,TW3,4,10,"1,904"
1549,TW4,0,10,737
1550,TW4,1,30,972
1551,TW4,2,20,"1,240"
1552,TW4,3,30,"1,624"
1553,TW4,4,10,"1,880"
1555,TW5,0,20,778
1556,TW5,1,20,955
1557,TW5,2,40,"1,186"
1558,TW5,3,30,"1,592"
1559,TW5,4,10,"1,775"
1561,TW6,0,0,.
1562,TW6,1,0,.
1563,TW6,2,0,.
1564,TW6,3,0,.
1565,TW6,4,0,.
1567,TW7,0,10,772
1568,TW7,1,50,"1,107"
1569,TW7,2,80,"1,337"
1570,TW7,3,40,"1,586"
1571,TW7,4,30,"2,001"
1573,TW8,0,10,"1,019"
1574,TW8,1,110,"1,335"
1575,TW8,2,160,"1,662"
1576,TW8,3,30,"2,128"
1577,TW8,4,10,"3,320"
1579,TW9,0,20,918
1580,TW9,1,90,"1,302"
1581,TW9,2,80,"1,634"
1582,TW9,3,20,"2,408"
1583,TW9,4,20,"4,701"
1585,UB1,0,10,730
1586,UB1,1,-,..
1587,UB1,2,30,"1,260"
1588,UB1,3,20,"1,538"
1589,UB1,4,10,"1,983"
1591,UB10,0,10,738
1592,UB10,1,40,"1,009"
1593,UB10,2,60,"1,290"
1594,UB10,3,80,"1,320"
1595,UB10,4,30,"2,083"
1597,UB11,0,0,.
1598,UB11,1,0,.
1599,UB11,2,0,.
1600,UB11,3,0,.
1601,UB11,4,0,.
1603,UB18,0,0,.
1604,UB18,1,0,.
1605,UB18,2,0,.
1606,UB18,3,0,.
1607,UB18,4,0,.
1609,UB2,0,10,821
1610,UB2,1,20,972
1611,UB2,2,30,"1,261"
1612,UB2,3,20,"1,479"
1613,UB2,4,10,"1,658"
1615,UB3,0,60,809
1616,UB3,1,120,"1,050"
1617,UB3,2,60,"1,251"
1618,UB3,3,50,"1,502"
1619,UB3,4,20,"1,880"
1621,UB4,0,10,718
1622,UB4,1,20,992
1623,UB4,2,50,"1,245"
1624,UB4,3,70,"1,244"
1625,UB4,4,10,"1,829"
1627,UB5,0,-,..
1628,UB5,1,30,926
1629,UB5,2,50,"1,229"
1630,UB5,3,30,"1,515"
1631,UB5,4,10,"2,166"
1633,UB6,0,-,..
1634,UB6,1,20,"1,109"
1635,UB6,2,30,"1,304"
1636,UB6,3,30,"1,642"
1637,UB6,4,10,"1,987"
1639,UB7,0,20,704
1640,UB7,1,60,"1,004"
1641,UB7,2,70,"1,218"
1642,UB7,3,40,"1,431"
1643,UB7,4,10,"1,899"
1645,UB8,0,20,707
1646,UB8,1,70,981
1647,UB8,2,70,"1,233"
1648,UB8,3,30,"1,473"
1649,UB8,4,50,"2,097"
1651,UB9,0,0,.
1652,UB9,1,-,..
1653,UB9,2,10,"1,429"
1654,UB9,3,-,..
1655,UB9,4,0,.
1657,W1,0,0,.
1658,W1,1,0,.
1659,W1,2,0,.
1660,W1,3,0,.
1661,W1,4,0,.
1663,W10,0,10,"1,175"
1664,W10,1,40,"1,728"
1665,W10,2,30,"1,873"
1666,W10,3,20,"3,101"
1667,W10,4,10,"4,318"
1669,W11,0,10,"1,484"
1670,W11,1,60,"2,020"
1671,W11,2,80,"2,612"
1672,W11,3,20,"4,184"
1673,W11,4,-,..
1675,W12,0,-,..
1676,W12,1,80,"1,293"
1677,W12,2,60,"1,688"
1678,W12,3,10,"2,247"
1679,W12,4,10,"2,942"
1681,W13,0,40,916
1682,W13,1,160,"1,236"
1683,W13,2,190,"1,395"
1684,W13,3,30,"1,966"
1685,W13,4,20,"2,512"
1687,W14,0,30,"1,153"
1688,W14,1,100,"1,488"
1689,W14,2,80,"2,085"
1690,W14,3,30,"2,754"
1691,W14,4,20,"5,295"
1693,W1A,0,0,.
1694,W1A,1,0,.
1695,W1A,2,0,.
1696,W1A,3,0,.
1697,W1A,4,0,.
1699,W1B,0,0,.
1700,W1B,1,-,..
1701,W1B,2,0,.
1702,W1B,3,-,..
1703,W1B,4,0,.
1705,W1C,0,0,.
1706,W1C,1,0,.
1707,W1C,2,0,.
1708,W1C,3,0,.
1709,W1C,4,0,.
1711,W1D,0,-,..
1712,W1D,1,10,"2,753"
1713,W1D,2,10,"6,005"
1714,W1D,3,-,..
1715,W1D,4,0,.
1717,W1F,0,0,.
1718,W1F,1,-,..
1719,W1F,2,0,.
1720,W1F,3,0,.
1721,W1F,4,0,.
1723,W1G,0,0,.
1724,W1G,1,10,"2,483"
1725,W1G,2,-,..
1726,W1G,3,-,..
1727,W1G,4,0,.
1729,W1H,0,30,"1,543"
1730,W1H,1,100,"2,309"
1731,W1H,2,110,"3,454"
1732,W1H,3,30,"4,158"
1733,W1H,4,-,..
1735,W1J,0,-,..
1736,W1J,1,30,"3,018"
1737,W1J,2,10,"3,908"
1738,W1J,3,-,..
1739,W1J,4,0,.
1741,W1K,0,-,..
1742,W1K,1,20,"3,919"
1743,W1K,2,30,"5,723"
1744,W1K,3,20,"13,700"
1745,W1K,4,10,"20,518"
1747,W1M,0,0,.
1748,W1M,1,0,.
1749,W1M,2,0,.
1750,W1M,3,0,.
1751,W1M,4,0,.
1753,W1N,0,0,.
1754,W1N,1,0,.
1755,W1N,2,0,.
1756,W1N,3,0,.
1757,W1N,4,0,.
1759,W1P,0,0,.
1760,W1P,1,0,.
1761,W1P,2,0,.
1762,W1P,3,0,.
1763,W1P,4,0,.
1765,W1R,0,0,.
1766,W1R,1,0,.
1767,W1R,2,0,.
1768,W1R,3,0,.
1769,W1R,4,0,.
1771,W1S,0,0,.
1772,W1S,1,-,..
1773,W1S,2,-,..
1774,W1S,3,0,.
1775,W1S,4,0,.
1777,W1T,0,-,..
1778,W1T,1,10,"1,871"
1779,W1T,2,10,"2,773"
1780,W1T,3,-,..
1781,W1T,4,-,..
1783,W1U,0,20,"1,780"
1784,W1U,1,80,"2,509"
1785,W1U,2,80,"3,312"
1786,W1U,3,30,"4,869"
1787,W1U,4,10,"6,821"
1789,W1V,0,0,.
1790,W1V,1,0,.
1791,W1V,2,0,.
1792,W1V,3,0,.
1793,W1V,4,0,.
1795,W1W,0,-,..
1796,W1W,1,10,"3,110"
1797,W1W,2,20,"3,839"
1798,W1W,3,10,"6,362"
1799,W1W,4,-,..
1801,W1X,0,0,.
1802,W1X,1,0,.
1803,W1X,2,0,.
1804,W1X,3,0,.
1805,W1X,4,0,.
1807,W1Y,0,0,.
1808,W1Y,1,0,.
1809,W1Y,2,0,.
1810,W1Y,3,0,.
1811,W1Y,4,0,.
1813,W2,0,80,"1,160"
1814,W2,1,180,"2,047"
1815,W2,2,200,"2,783"
1816,W2,3,90,"4,463"
1817,W2,4,20,"5,415"
1819,W3,0,10,981
1820,W3,1,30,"1,287"
1821,W3,2,50,"1,590"
1822,W3,3,20,"2,237"
1823,W3,4,20,"2,474"
1825,W4,0,10,944
1826,W4,1,90,"1,418"
1827,W4,2,140,"1,726"
1828,W4,3,50,"2,321"
1829,W4,4,40,"4,447"
1831,W5,0,70,931
1832,W5,1,230,"1,264"
1833,W5,2,310,"1,580"
1834,W5,3,100,"2,050"
1835,W5,4,70,"2,789"
1837,W6,0,20,"1,070"
1838,W6,1,60,"1,570"
1839,W6,2,70,"2,618"
1840,W6,3,40,"3,357"
1841,W6,4,10,"3,670"
1843,W7,0,10,790
1844,W7,1,30,"1,136"
1845,W7,2,40,"1,361"
1846,W7,3,10,"1,635"
1847,W7,4,10,"2,106"
1849,W8,0,30,"1,308"
1850,W8,1,130,"2,258"
1851,W8,2,210,"3,662"
1852,W8,3,50,"5,683"
1853,W8,4,30,"10,090"
1855,W9,0,30,"1,158"
1856,W9,1,150,"1,625"
1857,W9,2,200,"2,055"
1858,W9,3,100,"2,876"
1859,W9,4,20,"4,744"
1861,WC1A,0,-,..
1862,WC1A,1,10,"2,128"
1863,WC1A,2,10,"2,621"
1864,WC1A,3,-,..
1865,WC1A,4,0,.
1867,WC1B,0,0,.
1868,WC1B,1,20,"2,120"
1869,WC1B,2,10,"2,716"
1870,WC1B,3,10,"3,964"
1871,WC1B,4,0,.
1873,WC1E,0,10,"1,439"
1874,WC1E,1,30,"2,061"
1875,WC1E,2,60,"2,557"
1876,WC1E,3,10,"3,909"
1877,WC1E,4,0,.
1879,WC1H,0,10,"1,418"
1880,WC1H,1,-,..
1881,WC1H,2,10,"2,176"
1882,WC1H,3,-,..
1883,WC1H,4,10,"3,250"
1885,WC1N,0,10,"1,384"
1886,WC1N,1,-,..
1887,WC1N,2,-,..
1888,WC1N,3,-,..
1889,WC1N,4,-,..
1891,WC1R,0,0,.
1892,WC1R,1,-,..
1893,WC1R,2,10,"2,134"
1894,WC1R,3,0,.
1895,WC1R,4,0,.
1897,WC1V,0,0,.
1898,WC1V,1,-,..
1899,WC1V,2,0,.
1900,WC1V,3,0,.
1901,WC1V,4,0,.
1903,WC1X,0,-,..
1904,WC1X,1,20,"1,580"
1905,WC1X,2,20,"2,408"
1906,WC1X,3,-,..
1907,WC1X,4,10,"3,623"
1909,WC2A,0,0,.
1910,WC2A,1,-,..
1911,WC2A,2,-,..
1912,WC2A,3,0,.
1913,WC2A,4,0,.
1915,WC2B,0,-,..
1916,WC2B,1,0,.
1917,WC2B,2,-,..
1918,WC2B,3,0,.
1919,WC2B,4,0,.
1921,WC2E,0,0,.
1922,WC2E,1,0,.
1923,WC2E,2,0,.
1924,WC2E,3,0,.
1925,WC2E,4,0,.
1927,WC2H,0,-,..
1928,WC2H,1,-,..
1929,WC2H,2,-,..
1930,WC2H,3,0,.
1931,WC2H,4,0,.
1933,WC2N,0,0,.
1934,WC2N,1,0,.
1935,WC2N,2,-,..
1936,WC2N,3,0,.
1937,WC2N,4,0,.
1939,WC2R,0,0,.
1940,WC2R,1,-,..
1941,WC2R,2,-,..
1942,WC2R,3,0,.
1943,WC2R,4,0,.
1945,WC99,0,0,.
1946,WC99,1,0,.
1947,WC99,2,0,.
1948,WC99,3,0,.
1949,WC99,4,0,.
1951,WD2,0,0,.
1952,WD2,1,0,.
1953,WD2,2,0,.
1954,WD2,3,0,.
1955,WD2,4,0,.
1957,WD23,0,0,.
1958,WD23,1,0,.
1959,WD23,2,0,.
1960,WD23,3,0,.
1961,WD23,4,0,.
1963,WD3,0,0,.
1964,WD3,1,0,.
1965,WD3,2,-,..
1966,WD3,3,0,.
1967,WD3,4,0,.
1969,WD6,0,0,.
1970,WD6,1,0,.
1971,WD6,2,0,.
1972,WD6,3,0,.
1973,WD6,4,0,.
